Fuel;Sector;Year;Consumption (Ktoe)
All;Commercial;2007;11762.92
All;Domestic;2007;44932.43
All;Industry;2007;30540.29
All;Public administration;2007;6345.88
All;Transport;2007;59770.93
All;Agriculture;2008;914.5
All;Commercial;2008;13107.11
All;Domestic;2008;45997.92
All;Industry;2008;30219.59
All;Public administration;2008;6523.78
All;Transport;2008;57393.32
All;Agriculture;2009;868.67
All;Commercial;2009;11620.89
All;Domestic;2009;44684.76
All;Industry;2009;25687.29
All;Public administration;2009;5985.72
All;Transport;2009;55393.52
All;Agriculture;2010;965.39
All;Commercial;2010;12232.62
All;Domestic;2010;49410.34
All;Industry;2010;27010.82
All;Public administration;2010;6240.62
All;Transport;2010;54635.94
All;Agriculture;2011;916.84
All;Commercial;2011;11533.17
All;Domestic;2011;40882.66
All;Industry;2011;25254.29
All;Public administration;2011;5507.02
All;Transport;2011;54493.13
All;Agriculture;2012;979.98
All;Commercial;2012;12268.79
All;Domestic;2012;44441
All;Industry;2012;24875.65
All;Public administration;2012;5987.85
All;Transport;2012;53776.46
All;Agriculture;2013;1085.43
All;Commercial;2013;12555.15
All;Domestic;2013;44890.58
All;Industry;2013;24889.32
All;Public administration;2013;6078.66
All;Transport;2013;53489.71
All;Agriculture;2014;1281.9
All;Commercial;2014;11661.15
All;Domestic;2014;38680.03
All;Industry;2014;24301.96
All;Public administration;2014;5538.06
All;Transport;2014;54145.81
All;Agriculture;2015;1032.91
All;Commercial;2015;13400.76
All;Domestic;2015;40281.48
All;Industry;2015;24305.41
All;Public administration;2015;5339.27
All;Transport;2015;55012.63
All;Agriculture;2016;1550.33
All;Commercial;2016;14431.36
All;Domestic;2016;41113.23
All;Industry;2016;22417.31
All;Public administration;2016;5797.56
All;Transport;2016;56000.52
All;Agriculture;2017;1575.51
All;Commercial;2017;14307.42
All;Domestic;2017;39874.25
All;Industry;2017;22611.75
All;Public administration;2017;5656.58
All;Transport;2017;57002.07
All;Agriculture;2018;1583.84
All;Commercial;2018;14574.72
All;Domestic;2018;41249.29
All;Industry;2018;22715.52
All;Public administration;2018;5646.76
All;Transport;2018;56954.21
