LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2048;678007.5
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2049;690162.1
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2050;702311.5
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2051;714465.1
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2052;726724.9
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2053;739124.6
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2054;751700.8
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2055;764490.1
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2056;777526.5
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2057;790752.6
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2058;804194
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2059;817859.6
AUT;GDPLTFORECAST;TOT;MLN_USD;A;2060;831738.5
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2016;465292.6261
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2017;473341.9054
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2018;481339.7837
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2019;489703.8899
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2020;496297.6
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2021;502807
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2022;509521.1
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2023;516616.7
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2024;524280.8
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2025;532611.6
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2026;541629.6
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2027;551309.7
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2028;561626.1
