Year,Real GDP per capita ,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1918,5858.5298,United Kingdom,GBR,43596368,United Kingdom,GBR,1561.836767,5.61773805905456,203568891001.09662,21023.156401225926,8.861703747010037e-08,5622.6123612
1919,5422.9302,United Kingdom,GBR,43644588,United Kingdom,GBR,1180.872692,5.585338059054559,206310880524.17645,20259.04212128052,8.77856257235501e-08,4251.1416911999995
1920,5058.5601,United Kingdom,GBR,43825720,United Kingdom,GBR,1397.01754,5.55293805905456,209127745539.42737,19594.399968401933,8.69542139769998e-08,5029.2631440000005
1921,4528.75,United Kingdom,GBR,44137848,United Kingdom,GBR,1525.899017,5.520538059054559,212022595437.8632,18526.718160045057,8.612280223044951e-08,5493.2364612
1922,4737.4399,United Kingdom,GBR,44431072,United Kingdom,GBR,1567.198138,5.48813805905456,214998714194.0962,19061.905069841192,8.529139048389948e-08,5641.9132968
1923,4848.0498,United Kingdom,GBR,44712604,United Kingdom,GBR,1429.498617,5.455738059054559,218059572793.75345,19364.292308826134,8.445997873734918e-08,5146.1950212
1924,5033.0098,United Kingdom,GBR,44942040,United Kingdom,GBR,1112.260636,5.423338059054559,221208842737.77225,19799.34607126941,8.362856699079891e-08,4004.1382896
1925,5192.1001,United Kingdom,GBR,45154444,United Kingdom,GBR,1501.272901,5.39093805905456,224450410734.03687,20163.112174303707,8.279715524424861e-08,5404.5824436
1926,5005.73,United Kingdom,GBR,45312744,United Kingdom,GBR,1487.884809,5.358538059054559,227788394699.96362,19827.64692730906,8.196574349769858e-08,5356.3853124
1927,5365.4302,United Kingdom,GBR,45486076,United Kingdom,GBR,1552.2059279999999,5.32613805905456,231227161214.56613,20567.97779747852,8.11343317511483e-08,5587.9413408
1928,5380.23,United Kingdom,GBR,45633020,United Kingdom,GBR,1472.046067,5.293738059054559,234771344575.52225,20628.02179619258,8.0302920004598e-08,5299.3658412
1929,5515.9302,United Kingdom,GBR,45792324,United Kingdom,GBR,1401.106046,5.26133805905456,238425867636.12997,20912.26430910331,7.947150825804773e-08,5043.9817656000005
1930,5436.5801,United Kingdom,GBR,45957972,United Kingdom,GBR,1384.45451,5.228938059054559,242195964619.16333,20803.52358339546,7.864009651149769e-08,4984.036236
1931,5154.6699,United Kingdom,GBR,46179392,United Kingdom,GBR,1402.596679,5.309938059054559,246087206129.96106,20316.804091153834,7.78086847649474e-08,5049.3480444
1932,5130.71,United Kingdom,GBR,46397808,United Kingdom,GBR,1480.937723,5.39093805905456,250105526620.12488,20317.405006172616,7.697727301839712e-08,5331.3758028
1933,5274.4502,United Kingdom,GBR,46595516,United Kingdom,GBR,1545.4490050000002,5.471938059054559,254257254586.58606,20638.21771270836,7.614586127184682e-08,5563.6164180000005
1934,5573.46,United Kingdom,GBR,46773520,United Kingdom,GBR,1606.1723630000001,5.55293805905456,258549145829.25482,21226.7218147201,7.53144495252968e-08,5782.2205068
1935,5753.7402,United Kingdom,GBR,46960876,United Kingdom,GBR,1619.8119609999999,5.633938059054559,262988420134.86063,21581.529508510426,7.448303777874651e-08,5831.323059599999
1936,5998.1699,United Kingdom,GBR,47168936,United Kingdom,GBR,1573.5686,5.714938059054559,267582801805.9713,22034.2762572647,7.365162603219622e-08,5664.846960000001
1937,6175.02,United Kingdom,GBR,47378000,United Kingdom,GBR,1641.600966,5.795938059054559,272340564513.7757,22361.641680872737,7.282021428564593e-08,5909.7634776
1938,6195.2402,United Kingdom,GBR,47681912,United Kingdom,GBR,1683.605531,5.876938059054559,277270581022.5227,22455.83730870844,7.19888025390959e-08,6060.9799115999995
1939,6434.8301,United Kingdom,GBR,47994840,United Kingdom,GBR,1692.883648,5.95793805905456,282382378414.319,22887.904898721405,7.115739079254561e-08,6094.3811328
1940,7012.0098,United Kingdom,GBR,48235964,United Kingdom,GBR,1677.290278,6.038938059054559,287686199537.4545,23763.89317509044,7.032597904599533e-08,6038.2450008
1941,7665.2598,United Kingdom,GBR,48372560,United Kingdom,GBR,1654.541255,6.119938059054559,293193071512.1698,24642.06598812852,6.949456729944504e-08,5956.348518000001
1942,7762.79,United Kingdom,GBR,48560584,United Kingdom,GBR,1655.470601,6.200938059054559,298914882257.96967,24799.34547650663,6.8663155552895e-08,5959.6941636
1943,7815.52,United Kingdom,GBR,48827756,United Kingdom,GBR,1608.104665,6.281938059054559,304864466160.1084,24915.911315355206,6.783174380634472e-08,5789.176794
1944,7439.6802,United Kingdom,GBR,49088920,United Kingdom,GBR,1645.867366,6.362938059054559,311055700174.44305,24497.518581705564,6.700033205979443e-08,5925.1225176
1945,7066.1401,United Kingdom,GBR,49231856,United Kingdom,GBR,1695.3434989999998,6.44393805905456,317503611885.3016,24033.325062365704,6.616892031324414e-08,6103.236596399999
1946,6894.6201,United Kingdom,GBR,49399844,United Kingdom,GBR,1734.1858359999999,6.524938059054559,324224501287.5102,23830.622257952065,6.533750856669412e-08,6243.0690096
1947,6756.8198,United Kingdom,GBR,49677704,United Kingdom,GBR,1772.868682,6.6059380590545596,331236078370.1395,23690.77511576095,6.450609682014382e-08,6382.3272552
1948,6906.1299,United Kingdom,GBR,50043400,United Kingdom,GBR,1841.588089,6.686938059054559,338557618946.90375,23970.58750860703,6.367468507359355e-08,6629.717120400001
1949,7098.3999,United Kingdom,GBR,50409764,United Kingdom,GBR,1890.6869629999999,6.767938059054559,346210141620.2567,24302.83337703272,6.284327332704326e-08,6806.473066799999
1950,7301.4302,United Kingdom,GBR,50616000,United Kingdom,GBR,1896.8703289999999,6.848938059054559,354216609300.3542,24610.69932857582,6.201186158049322e-08,6828.7331844
1951,7615.29,United Kingdom,GBR,50602000,United Kingdom,GBR,1939.3257649999998,6.9299380590545585,362602159347.98267,25008.4730468921,6.118044983394294e-08,6981.572754
1952,7715.1602,United Kingdom,GBR,50651000,United Kingdom,GBR,1997.9481269999999,7.01093805905456,371394367199.8768,25141.418931050106,6.034903808739265e-08,7192.6132572
1953,8117.27,United Kingdom,GBR,50751000,United Kingdom,GBR,2035.057526,7.091938059054559,380623549300.7089,25641.829135613312,5.9517626340842356e-08,7326.2070936
1954,8438.96,United Kingdom,GBR,50891000,United Kingdom,GBR,2028.65946,7.172938059054559,390323112353.4099,26035.471064207868,5.868621459429233e-08,7303.174056000001
1955,8732.1904,United Kingdom,GBR,51064000,United Kingdom,GBR,2011.633732,7.253938059054559,400529957366.30426,26389.85163373251,5.785480284774205e-08,7241.8814352
1956,8832.1201,United Kingdom,GBR,51266000,United Kingdom,GBR,1975.89228,7.334938059054559,411284948796.852,26534.26149583962,5.702339110119175e-08,7113.212208
1957,8956.0303,United Kingdom,GBR,51496000,United Kingdom,GBR,2050.724508,7.415938059054559,422633461365.3901,26707.50382278903,5.6191979354641466e-08,7382.6082288
1958,9032.5303,United Kingdom,GBR,51755000,United Kingdom,GBR,2100.317193,7.496938059054559,434626019966.50696,26834.611037058297,5.536056760809144e-08,7561.1418948
1959,9349.9297,United Kingdom,GBR,52046000,United Kingdom,GBR,2152.495481,7.577938059054558,447319051710.1338,27211.06737607431,5.4529155861541144e-08,7748.9837316
