En/CapItaly,GDP/CapItaly,ModelItaly
1.1777110426008968e-08,2.657036,117.44527963233394
1.1757507393472748e-08,2.6960610000000003,118.02362822643742
1.155865100178328e-08,2.69024,117.93965640403152
1.1534157374069284e-08,2.766826,118.98117868630393
1.2016906286074088e-08,2.866635,120.13756233213647
1.205631262595286e-08,2.9231279999999997,120.69467669387053
1.2260073808519612e-08,2.99607,121.3135350066553
1.262185009604709e-08,3.064963,121.79743793480303
1.3039915984185257e-08,3.134048,122.18813859447994
1.3216499682494882e-08,3.2716979999999998,122.6985020771881
1.3241676659340661e-08,3.351143,122.8395357942293
1.3064815067415141e-08,3.3780050000000004,122.86306520165886
1.3403163033093025e-08,3.3917800000000002,122.8705265043776
1.3556235245392424e-08,3.4472129999999996,122.86959335756163
1.3493078704895249e-08,3.4872129999999997,122.8388729719798
1.336949592607143e-08,3.5713800000000004,122.69534434074993
1.3073445223667191e-08,3.631073,122.53150537315364
1.285415430569227e-08,3.594294,122.6383855404557
1.1962803776266366e-08,3.4055230000000005,122.8748900366169
1.2279049304677621e-08,3.4765940000000004,122.84944271023464
1.194054674520465e-08,3.5151,122.80298091799303
1.1558952554317876e-08,3.4068,122.87513691635317
1.0959162996326891e-08,3.3094,122.77893910517892
1.0314175798708823e-08,3.2829,122.72497763370446
1.051320875565387e-08,3.3118,122.78321641943684
1.0600502447950152e-08,3.3419,122.82865444874588
1.0703025348584236e-08,3.4027339999999997,122.87425083322152
1.0769484882972935e-08,3.4364169999999996,122.87360902212372
