En/CapItaly,GDP/CapItaly,ModelItaly
1.727287052056199e-09,0.263435,13.892245856889403
1.7161572037709557e-09,0.268811,14.209881520689823
1.6926536253442238e-09,0.264203,13.93761266919723
1.6668329317596549e-09,0.278028,14.754827115974496
1.6411997848453897e-09,0.258827,13.620108520927294
1.6230768179456629e-09,0.261131,13.756159481581722
1.6277775899854155e-09,0.262667,13.846876696034162
1.632390249010832e-09,0.26958000000000004,14.25532675334954
1.6371085048575825e-09,0.282636,15.027436722244207
1.6433181757729415e-09,0.281112,14.937261834987165
1.6500263885639057e-09,0.2593,13.648042352358798
1.6564601438967615e-09,0.2581,13.577188354536089
1.6768574926081366e-09,0.2715,14.368819592040786
1.7078776057878373e-09,0.2727,14.43975625585888
1.735641983573246e-09,0.2662,14.055587151368155
1.7255132539592311e-09,0.2678,14.150136777445754
1.7162578798383709e-09,0.2745,14.546183928526162
1.7444810520277831e-09,0.2753,14.593486817117403
1.7722839834212496e-09,0.2796,14.847814840872584
1.8004056516972998e-09,0.288,15.34490876466524
1.8268867276256182e-09,0.2915,15.552126009273971
1.8525764240714444e-09,0.2942,15.712026289554256
1.8608991886754658e-09,0.2898,15.451469499979831
1.8667997335468798e-09,0.2941,15.706105322327685
1.881948165030737e-09,0.3005,16.085258162073014
1.9218200827035057e-09,0.3081,16.535745930956864
1.9611836162339414e-09,0.3065,16.440882556898913
2.000026712254034e-09,0.2971,15.883810759256509
1.9654104025615065e-09,0.2974,15.901583582650327
1.8988933905629827e-09,0.3014,16.138591688973616
1.8857650741000745e-09,0.3017,16.156370334283768
1.893498664553884e-09,0.3064,16.434950444118527
1.9522779372740376e-09,0.3081,16.535745930956864
1.90808618556383e-09,0.3107,16.689912282936557
1.8645817767181984e-09,0.3153,16.96274753633721
1.8356734354618294e-09,0.3158,16.992410229030085
1.8574498527071866e-09,0.3145,16.91529046303527
1.878608548766631e-09,0.318,17.122927893109114
1.8799491596242105e-09,0.3264,17.621460799367664
1.8668538657658094e-09,0.3317,17.936148295656043
1.8574136372732851e-09,0.3371,18.256880242263474
1.875981096224631e-09,0.3402,18.441046792324684
1.8936536800641055e-09,0.3461,18.791651032675077
1.938601819925802e-09,0.3532,19.213707199852998
2.016979892615588e-09,0.3652,19.927391682712862
2.0951684828985006e-09,0.3716,20.308179478684465
2.15901904561319e-09,0.3795,20.778350835549695
