En/CapNetherlands,GDP/CapNetherlands,ModelNetherlands
3.1355353619082007e-09,0.41844899999999996,41.96179266103695
3.130176141680194e-09,0.41105200000000003,41.2222658963994
3.124824159664051e-09,0.43377899999999997,43.495557292262575
3.1194835651904155e-09,0.424421,42.55911499172097
3.11415021964719e-09,0.444563,44.57534032580797
3.1088282437584936e-09,0.41844899999999996,41.96179266103695
3.103513526831341e-09,0.42156899999999997,42.27382680566322
3.0982088033224584e-09,0.386275,38.748007525765665
3.164633238580306e-09,0.2632,26.54262677645575
3.3634295723413333e-09,0.3011,30.283609550670207
3.345073399394917e-09,0.2869,28.879913063872998
3.3259712237222415e-09,0.2898,29.166390069659133
3.326984521485732e-09,0.2942,29.601235658645543
3.3570228705953196e-09,0.2807,28.267784394821458
3.3853971190029937e-09,0.3006,30.234138922930097
3.412258713410357e-09,0.2947,29.650660468777943
3.4382541617604435e-09,0.2974,29.917626083098156
3.4629364416681254e-09,0.3121,31.372588125257224
3.4860690388884517e-09,0.31,31.164587264061762
3.512933885084323e-09,0.3022,30.39244220503849
3.5376796500211204e-09,0.3068,30.847727533474185
3.5602898190232018e-09,0.325,32.6513714664083
3.580772266986126e-09,0.3319,33.33609496152228
3.5990752417647264e-09,0.3325,33.395659245661705
3.598455812834794e-09,0.3038,30.550778343861726
3.5603960890450886e-09,0.3264,32.79026227511824
3.523194925551885e-09,0.3417,34.30944129847415
3.4871333488718997e-09,0.3341,33.55451940475703
3.4519213380288914e-09,0.337,33.84250702719985
3.4874943574793047e-09,0.336,33.743187561032116
3.553054999895842e-09,0.3472,34.856117012129644
3.6190830096736605e-09,0.3553,35.661761635215285
3.6851786478616557e-09,0.359,36.02997073628291
3.751172326031379e-09,0.3588,36.01006865869056
3.816328637069082e-09,0.3623,36.35848291975607
3.7194407553719007e-09,0.3658,36.707008141284206
3.6205868224974362e-09,0.3569,35.82097401917291
3.5225187135855196e-09,0.3507,35.20415958498692
3.428625320100445e-09,0.354,35.53241956928699
3.4439405681083623e-09,0.3515,35.28372615783491
3.459425377546759e-09,0.3521,35.343413006037196
3.4749828955085756e-09,0.3545,35.58216354461166
3.4908995132849903e-09,0.3602,36.14941783212616
3.5076883536613096e-09,0.3709,37.215058933572344
3.5281979743261796e-09,0.3779,37.91274489457603
3.579679683009766e-09,0.3834,38.461213507285045
3.6309900013457568e-09,0.379,38.022417386907556
3.681579072309267e-09,0.3704,37.16523707444931
3.789922495329021e-09,0.3931,39.42909926691015
3.9125208511349864e-09,0.3824,38.36147741430771
4.034010766814302e-09,0.3977,39.888353846882495
4.082018685314686e-09,0.3907,39.1895507312397
4.05417472054059e-09,0.38,38.12212847978067
4.0247430345820396e-09,0.3665,36.77673165608056
3.9941411691860395e-09,0.384,38.5210575425259
4.025357341742505e-09,0.3735,37.47415169484755
4.076433184644256e-09,0.3881,38.9300951600564
4.128289068047662e-09,0.3953,39.64872470030394
4.304342851053686e-09,0.4111,41.22706261860598
4.491251879819682e-09,0.4117,41.28703945242943
4.673505745053295e-09,0.4272,42.83714666701682
4.752105968568588e-09,0.4127,41.386998290654525
4.812334306064812e-09,0.4152,41.636924358681526
4.862983137510473e-09,0.4286,42.97723751139137
4.909641643266235e-09,0.4422,44.33867908360657
4.935327903723234e-09,0.4364,43.757931585239255
4.8851398882601195e-09,0.4414,44.258565343813714
4.841500241250838e-09,0.4503,45.15004166098898
4.790902451632203e-09,0.4337,43.487650360947924
5.022328008320967e-09,0.4584,45.961737128075185
5.27706593143731e-09,0.4595,46.07199652113377
5.30884217271412e-09,0.4651,46.63338840536938
5.314113179472532e-09,0.4637,46.49302492315332
5.3179322008605465e-09,0.4414,44.258565343813714
5.398281802924589e-09,0.4666,46.78378325282068
5.489114287137422e-09,0.4694,47.06455870862653
5.576318139013028e-09,0.4758,47.70644837714247
5.636167092367519e-09,0.5053,50.66715236740442
5.494108507506331e-09,0.5085,50.98849044481848
5.34413548494845e-09,0.5137,51.5107102370763
5.449029163432129e-09,0.5157,51.711579282912545
5.6597649085580315e-09,0.5223,52.37453321848697
5.850597609120392e-09,0.5231,52.45489230656578
5.7838030144371314e-09,0.5349,53.64040069373125
5.716912018431668e-09,0.5078,50.91819656111135
5.65009564122747e-09,0.5035,50.48641877580875
5.601270983799767e-09,0.5131,51.450446363684804
5.592055768652173e-09,0.5019,50.32577178827932
5.581646594533378e-09,0.5247,52.61562396750366
5.644714957923186e-09,0.5212,52.26402833707128
5.7922302075057166e-09,0.5359,53.74087608109999
5.8768671772137294e-09,0.5421,54.363876271313565
5.796232300773763e-09,0.5431,54.46435572892722
5.93412209924218e-09,0.5435,54.50455317283514
6.080471704717777e-09,0.5306,53.20836831192147
5.839157068747618e-09,0.5483,54.986915228498795
5.660861753075109e-09,0.563,56.46426209318411
5.767804949395401e-09,0.5544,55.59994837271132
5.870601946148615e-09,0.5541,55.569801211649064
5.9736769424822325e-09,0.5735,57.51956288924161
6.102689770302939e-09,0.577,57.87133171484623
6.222650556264302e-09,0.5592,56.082345304075126
6.348775845464106e-09,0.5628,56.44416077547971
6.47590740304029e-09,0.5852,58.695466660490354
6.598703318019449e-09,0.603,60.48424764801732
6.8700324966011646e-09,0.6158,61.770303514369274
7.759505439947105e-09,0.6245,62.64425151077166
8.268042391134131e-09,0.6454,64.74295710116526
7.257099664724124e-09,0.6166,61.85068387303512
7.123990629275926e-09,0.6258,62.77483499791665
6.133079456815381e-09,0.6306,63.256908615524175
5.190532975690251e-09,0.5781,57.98188181145321
4.919519729917315e-09,0.5343,53.580110265354726
6.134444750865725e-09,0.657,65.90721132548441
6.131419453579072e-09,0.6727,67.48215336603722
6.1113559159787805e-09,0.7063,70.8488919071626
6.812604640614499e-09,0.7331,73.52962762192718
6.737716035824982e-09,0.7388,74.09916633411699
