En/CapSpain,GDP/CapSpain,ModelSpain
1.6288574312799e-09,0.1706,11.449429393675302
1.594089019822209e-09,0.172,11.530447215752774
1.559899467231341e-09,0.1785,11.90669660623176
1.5427309253773817e-09,0.1785,11.90669660623176
1.5346868031377254e-09,0.1804,12.016714557753575
1.5269113234986338e-09,0.1892,12.526460152516643
1.5193977069089266e-09,0.18,11.993544592307273
1.5121441099225292e-09,0.1742,11.657780242765668
1.5051487271503953e-09,0.1774,11.843012089191923
1.5002845724451161e-09,0.1862,12.352645285779563
1.5108853396983844e-09,0.193,12.746682769298255
1.5215882053905518e-09,0.1932,12.758278566230985
1.5323025567147412e-09,0.1932,12.758278566230985
1.5302906923999329e-09,0.1959,12.914771209904117
1.5242795726392237e-09,0.1946,12.839420459878486
1.518419403816308e-09,0.1865,12.370030616782383
1.512711794678045e-09,0.1977,13.019126968365404
1.5071539107086867e-09,0.1946,12.839420459878486
1.5016361584428503e-09,0.1701,11.420499758608113
1.4960699900839034e-09,0.176,11.76197175787928
1.4903999775916896e-09,0.1809,12.045666913980101
1.4846245701135933e-09,0.1948,12.851017552047932
1.46435102932963e-09,0.2246,14.58012175983138
1.4319417146061495e-09,0.2428,15.637694647831326
1.422282329569035e-09,0.2216,14.405901379241321
1.4342091952075673e-09,0.2276,14.754373062740804
1.445870699084767e-09,0.2346,15.161072964889007
1.4492036440949001e-09,0.2601,16.64390916731373
1.4426518184541142e-09,0.2495,16.027277047083203
1.4389111531376806e-09,0.2316,14.986751607899032
1.451844893742712e-09,0.252,16.172683014100183
1.465091700220007e-09,0.2538,16.277385172506765
1.4683337038646893e-09,0.2547,16.32974526756628
1.461014932595172e-09,0.2582,16.53335504496205
1.4535638405084456e-09,0.259,16.579905859444132
1.472971423576584e-09,0.2493,16.015652898067515
1.5091907508064668e-09,0.2436,15.684209616482498
1.5333008162581951e-09,0.2381,15.364482804922842
1.5256766995287807e-09,0.2475,15.910974347272031
1.5182290724472008e-09,0.2469,15.876083635167078
1.532748592471167e-09,0.2463,15.841193999356701
1.5628862131620648e-09,0.2509,16.10870480772504
1.5928456921453005e-09,0.2719,17.330697088856752
1.589441731072015e-09,0.2603,16.655550519851484
1.582304774428619e-09,0.2633,16.83011724272934
1.60401837097372e-09,0.2589,16.574085525147375
1.629196472636007e-09,0.233,15.068101610560047
1.6537318346052322e-09,0.2469,15.876083635167078
1.6998459034141772e-09,0.2628,16.801021111403983
1.7485244418091993e-09,0.2636,16.8475818948367
1.8099725448740123e-09,0.2676,17.0803889116496
1.89458240036403e-09,0.2885,18.29744123233359
1.8405702749444135e-09,0.274,17.452967494309437
1.7588134007005148e-09,0.2713,17.29576627885307
1.7717200837444474e-09,0.266,16.98725221810573
1.8036385721534217e-09,0.2622,16.766104417430956
1.8346603613711624e-09,0.2775,17.656764287735193
